sourceKey,transactionType,taxType,taxCode,taxDescription,taxRate,taxExempt,taxAlias,atc,officialAtcCode,natureOfIncome,sortOrder,status
PH-TAX-0161,Purchases,EWT,WI 151,"WI 151 | Professional Fees Paid to Medical Practitioners (Includes Doctors of Medicine, Doctors of Veterinary Science and Dentists) by Hospitals and Clinics or Paid Directly by Health Maintenance Organizations (HMOs) and/or Similar Establishments - If the current year's gross income does not exceed P3,000,000.00",5,,,WI 151,WI 151,"Professional Fees Paid to Medical Practitioners (Includes Doctors of Medicine, Doctors of Veterinary Science and Dentists) by Hospitals and Clinics or Paid Directly by Health Maintenance Organizations (HMOs) and/or Similar Establishments - If the current year's gross income does not exceed P3,000,000.00",,ACTIVE
PH-TAX-0162,Purchases,EWT,WI 152,"WI 152 | Payment by the General Professional Partnerships (GPPs) to Its Partners - If the current year's gross income does not exceed P720,000.00",10,,,WI 152,WI 152,"Payment by the General Professional Partnerships (GPPs) to Its Partners - If the current year's gross income does not exceed P720,000.00",,ACTIVE
PH-TAX-0163,Purchases,EWT,WI 153,"WI 153 | Payment by the General Professional Partnerships (GPPs) to Its Partners - If the current year's gross income exceeds P720,000.00",15,,,WI 153,WI 153,"Payment by the General Professional Partnerships (GPPs) to Its Partners - If the current year's gross income exceeds P720,000.00",,ACTIVE
PH-TAX-0164,Purchases,EWT,WI 156,WI 156 | Income Payments Made by Credit Card Companies,0.5,,,WI 156,WI 156,Income Payments Made by Credit Card Companies,,ACTIVE
PH-TAX-0165,Purchases,EWT,WI 157,WI 157 | Income Payments Made by the Government and Government-Owned and Controlled Corporations (GOCCS) to Its Local/Resident Suppliers of Services Other Than Those Covered by Other Rates of Withholding Tax,2,,,WI 157,WI 157,Income Payments Made by the Government and Government-Owned and Controlled Corporations (GOCCS) to Its Local/Resident Suppliers of Services Other Than Those Covered by Other Rates of Withholding Tax,,ACTIVE
PH-TAX-0166,Purchases,EWT,WI 158,WI 158 | Income Payment Made by Top Withholding Agents to Their Local/Resident Supplier of Goods Other Than Those Covered by Other Rates of Withholding Tax,1,,,WI 158,WI 158,Income Payment Made by Top Withholding Agents to Their Local/Resident Supplier of Goods Other Than Those Covered by Other Rates of Withholding Tax,50,ACTIVE
PH-TAX-0167,Purchases,EWT,WI 159,"WI 159 | Additional Income Payments to Government Personnel from Importers, Shipping and Airline Companies or Their Agents for Overtime Services",15,,,WI 159,WI 159,"Additional Income Payments to Government Personnel from Importers, Shipping and Airline Companies or Their Agents for Overtime Services",,ACTIVE
PH-TAX-0168,Purchases,EWT,WI 160,WI 160 | Income Payment Made by Top Withholding Agents to Their Local/Resident Supplier of Services Other Than Those Covered by Other Rates of Withholding Tax,2,,,WI 160,WI 160,Income Payment Made by Top Withholding Agents to Their Local/Resident Supplier of Services Other Than Those Covered by Other Rates of Withholding Tax,50,ACTIVE
PH-TAX-0169,Purchases,EWT,WI 161,WI 161 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Saving Deposit,20,,,WI 161,WI 161,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Saving Deposit,,ACTIVE
PH-TAX-0170,Purchases,EWT,WI 162,WI 162 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Government Securities,20,,,WI 162,WI 162,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Government Securities,,ACTIVE
PH-TAX-0171,Purchases,EWT,WI 163,WI 163 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Deposits Substitutes/Others,20,,,WI 163,WI 163,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Deposits Substitutes/Others,,ACTIVE
PH-TAX-0172,Purchases,EWT,WI 170,WI 170 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Foreign Currency Deposits,7.5,,,WI 170,WI 170,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Foreign Currency Deposits,,ACTIVE
PH-TAX-0173,Purchases,EWT,WI 202,WI 202 | All Others - Cash dividend payment by domestic corporation to citizen & resident aliens/NRFCs,10,,,WI 202,WI 202,All Others - Cash dividend payment by domestic corporation to citizen & resident aliens/NRFCs,,ACTIVE
PH-TAX-0174,Purchases,EWT,WI 203,WI 203 | All Others - Property dividend payment by domestic corporation to citizens & resident aliens/NRFCs,10,,,WI 203,WI 203,All Others - Property dividend payment by domestic corporation to citizens & resident aliens/NRFCs,,ACTIVE
PH-TAX-0175,Purchases,EWT,WI 224,WI 224 | All Others - Cash dividend payment by domestic corporation to NRAETB,20,,,WI 224,WI 224,All Others - Cash dividend payment by domestic corporation to NRAETB,,ACTIVE
PH-TAX-0176,Purchases,EWT,WI 225,WI 225 | All Others - Property dividend payment by domestic corporation to NRAETB,20,,,WI 225,WI 225,All Others - Property dividend payment by domestic corporation to NRAETB,,ACTIVE
PH-TAX-0177,Purchases,EWT,WI 226,"WI 226 | All Others - Share of a NRAETB in the distributable net income after tax of a partnership (except General Professional Partnership) of which he is a partner, or share in the net income after tax of an association, a joint account or a joint venture taxable as a corp., of which he is a member or a co-venturer",20,,,WI 226,WI 226,"All Others - Share of a NRAETB in the distributable net income after tax of a partnership (except General Professional Partnership) of which he is a partner, or share in the net income after tax of an association, a joint account or a joint venture taxable as a corp., of which he is a member or a co-venturer",,ACTIVE
PH-TAX-0178,Purchases,EWT,WI 240,"WI 240 | All Others - Distributive share of individual partners in a taxable partnership, association, a joint account or a joint venture or consortium",10,,,WI 240,WI 240,"All Others - Distributive share of individual partners in a taxable partnership, association, a joint account or a joint venture or consortium",,ACTIVE
PH-TAX-0179,Purchases,EWT,WI 250,"WI 250 | All Others - Other royalty payments to citizens, resident aliens and NRAETB (other than WI380 and WI 341)/domestic and resident foreign corporation",20,,,WI 250,WI 250,"All Others - Other royalty payments to citizens, resident aliens and NRAETB (other than WI380 and WI 341)/domestic and resident foreign corporation",,ACTIVE
PH-TAX-0180,Purchases,EWT,WI 260,"WI 260 | All Others - On prizes exceeding P10,000 & other winnings paid to individuals",20,,,WI 260,WI 260,"All Others - On prizes exceeding P10,000 & other winnings paid to individuals",,ACTIVE
PH-TAX-0181,Purchases,EWT,WI 310,WI 310 | All Others - Payment to Oil Exploration Service Contractors/Sub-Contractors,8,,,WI 310,WI 310,All Others - Payment to Oil Exploration Service Contractors/Sub-Contractors,,ACTIVE
PH-TAX-0182,Purchases,EWT,WI 320,"WI 320 | All Others - Payment to Filipinos or Alien individuals employed by Foreign Petroleum Service Contractors/Subcontractors, Offshore Banking Units and Regional or Area Headquarters and Regional Operating Headquarters of Multinational Companies occupying executive/managerial and technical positions",15,,,WI 320,WI 320,"All Others - Payment to Filipinos or Alien individuals employed by Foreign Petroleum Service Contractors/Subcontractors, Offshore Banking Units and Regional or Area Headquarters and Regional Operating Headquarters of Multinational Companies occupying executive/managerial and technical positions",,ACTIVE
PH-TAX-0183,Purchases,EWT,WI 330,WI 330 | All Others - Payments to Non-Resident Alien Not Engaged in Trade or Business (NRAETB) except on sale of shares in domestic corporation and real property,25,,,WI 330,WI 330,All Others - Payments to Non-Resident Alien Not Engaged in Trade or Business (NRAETB) except on sale of shares in domestic corporation and real property,,ACTIVE
PH-TAX-0184,Purchases,EWT,WI 340,"WI 340 | All Others - Payments to non-resident individual/foreign corporate cinematographic film owners, lessors or distributors",25,,,WI 340,WI 340,"All Others - Payments to non-resident individual/foreign corporate cinematographic film owners, lessors or distributors",,ACTIVE
PH-TAX-0185,Purchases,EWT,WI 341,WI 341 | All Others - Royalties paid to NRAETB on cinematographic films and similar works,25,,,WI 341,WI 341,All Others - Royalties paid to NRAETB on cinematographic films and similar works,,ACTIVE
PH-TAX-0186,Purchases,EWT,WI 350,"WI 350 | All Others - Final Tax on interest or other payments upon tax-free covenant bonds, mortgages, deeds of trust or other obligations under Sec. 57C of the National Internal Revenue Code of 1997",30,,,WI 350,WI 350,"All Others - Final Tax on interest or other payments upon tax-free covenant bonds, mortgages, deeds of trust or other obligations under Sec. 57C of the National Internal Revenue Code of 1997",,ACTIVE
PH-TAX-0187,Purchases,EWT,WI 380,"WI 380 | All Others - Royalties paid to citizens, resident aliens & non-resident alien engaged in trade or business (NRAETB) on books, other literary works & musical compositions",10,,,WI 380,WI 380,"All Others - Royalties paid to citizens, resident aliens & non-resident alien engaged in trade or business (NRAETB) on books, other literary works & musical compositions",,ACTIVE
PH-TAX-0188,Purchases,EWT,WI 410,WI 410 | All Others - Informer's cash reward to individuals/juridical person,10,,,WI 410,WI 410,All Others - Informer's cash reward to individuals/juridical person,,ACTIVE
PH-TAX-0189,Purchases,EWT,WI 440,WI 440 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Preterminated Long Term Deposit - Less than three (3) years,20,,,WI 440,WI 440,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Preterminated Long Term Deposit - Less than three (3) years,,ACTIVE
PH-TAX-0190,Purchases,EWT,WI 441,WI 441 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Preterminated Long Term Deposit - Three (3) years to less than four (4) years,12,,,WI 441,WI 441,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Preterminated Long Term Deposit - Three (3) years to less than four (4) years,,ACTIVE
PH-TAX-0191,Purchases,EWT,WI 442,WI 442 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Preterminated Long Term Deposit - Four (4) years to less than five (5) years,5,,,WI 442,WI 442,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Preterminated Long Term Deposit - Four (4) years to less than five (5) years,,ACTIVE
PH-TAX-0192,Purchases,EWT,WI 515,"WI 515 | Commissions, Rebates, Discounts and Other Similar Considerations Paid/Granted to Independent and/or Exclusive Sales Representatives and Marketing Agents and Sub-Agents of Companies, Including Multi-Level Marketing Companies - If the current year's gross income does not exceed P3,000,000.00",5,,,WI 515,WI 515,"Commissions, Rebates, Discounts and Other Similar Considerations Paid/Granted to Independent and/or Exclusive Sales Representatives and Marketing Agents and Sub-Agents of Companies, Including Multi-Level Marketing Companies - If the current year's gross income does not exceed P3,000,000.00",,ACTIVE
PH-TAX-0193,Purchases,EWT,WI 516,"WI 516 | Commissions, Rebates, Discounts and Other Similar Considerations Paid/Granted to Independent and/or Exclusive Sales Representatives and Marketing Agents and Sub-Agents of Companies, Including Multi-Level Marketing Companies - If the current year's gross income exceeds P3,000,000.00 or VAT registered regardless of amount",10,,,WI 516,WI 516,"Commissions, Rebates, Discounts and Other Similar Considerations Paid/Granted to Independent and/or Exclusive Sales Representatives and Marketing Agents and Sub-Agents of Companies, Including Multi-Level Marketing Companies - If the current year's gross income exceeds P3,000,000.00 or VAT registered regardless of amount",,ACTIVE
PH-TAX-0194,Purchases,EWT,WI 530,WI 530 | Gross Payments to Embalmers by Funeral Parlors,1,,,WI 530,WI 530,Gross Payments to Embalmers by Funeral Parlors,,ACTIVE
PH-TAX-0195,Purchases,EWT,WI 535,WI 535 | Payments Made by Pre-Need Companies to Funeral Parlors,1,,,WI 535,WI 535,Payments Made by Pre-Need Companies to Funeral Parlors,,ACTIVE
PH-TAX-0196,Purchases,EWT,WI 540,WI 540 | Tolling Fees Paid to Refineries,5,,,WI 540,WI 540,Tolling Fees Paid to Refineries,,ACTIVE
PH-TAX-0197,Purchases,EWT,WI 555,WI 555 | Sale of Real Property (Ordinary Assets),1.5,,,WI 555,WI 555,Sale of Real Property (Ordinary Assets),,ACTIVE
PH-TAX-0198,Purchases,EWT,WI 556,WI 556 | Sale of Real Property (Ordinary Assets),3,,,WI 556,WI 556,Sale of Real Property (Ordinary Assets),,ACTIVE
PH-TAX-0199,Purchases,EWT,WI 557,WI 557 | Sale of Real Property (Ordinary Assets),5,,,WI 557,WI 557,Sale of Real Property (Ordinary Assets),,ACTIVE
PH-TAX-0200,Purchases,EWT,WI 558,WI 558 | Sale of Real Property (Ordinary Assets),6,,,WI 558,WI 558,Sale of Real Property (Ordinary Assets),,ACTIVE
PH-TAX-0201,Purchases,EWT,WI 610,WI 610 | Income Payments Made to Suppliers of Agricultural Products,1,,,WI 610,WI 610,Income Payments Made to Suppliers of Agricultural Products,,ACTIVE
PH-TAX-0202,Purchases,EWT,WI 630,"WI 630 | Income Payments on Purchases of Minerals, Mineral Products and Quarry Resources",5,,,WI 630,WI 630,"Income Payments on Purchases of Minerals, Mineral Products and Quarry Resources",,ACTIVE
PH-TAX-0203,Purchases,EWT,WI 632,"WI 632 | Income Payments on Purchases of Minerals, Mineral Products and Quarry Resources by Bangko Sentral ng Pilipinas (BSP) from Gold Miners/Suppliers Under PD 1899, as Amended by RA No. 7076",1,,,WI 632,WI 632,"Income Payments on Purchases of Minerals, Mineral Products and Quarry Resources by Bangko Sentral ng Pilipinas (BSP) from Gold Miners/Suppliers Under PD 1899, as Amended by RA No. 7076",,ACTIVE
