sourceKey,transactionType,taxType,taxCode,taxDescription,taxRate,taxExempt,taxAlias,atc,officialAtcCode,natureOfIncome,sortOrder,status
PH-TAX-0240,Purchases,FWT,WC 300,"WC 300 | On gross rentals, charter and other fees derived by non-resident lessor or aircraft, machineries and equipment",7.5,,,WC 300,WC 300,"On gross rentals, charter and other fees derived by non-resident lessor or aircraft, machineries and equipment",,ACTIVE
PH-TAX-0241,Purchases,FWT,WC 310,WC 310 | On payments to oil exploration service contractors/sub-contractors,0,,,WC 310,WC 310,On payments to oil exploration service contractors/sub-contractors,,ACTIVE
PH-TAX-0242,Purchases,FWT,WC 340,"WC 340 | On payments to non-resident individual/foreign corporate cinematographic film owners, lessors or distributors",25,,,WC 340,WC 340,"On payments to non-resident individual/foreign corporate cinematographic film owners, lessors or distributors",,ACTIVE
PH-TAX-0243,Purchases,FWT,WC 410,WC 410 | Informers cash reward to individuals/juridical persons,10,,,WC 410,WC 410,Informers cash reward to individuals/juridical persons,,ACTIVE
PH-TAX-0244,Purchases,FWT,WC 700,WC 700 | Cash on property dividend paid by a Real Estate Investment Trust,10,,,WC 700,WC 700,Cash on property dividend paid by a Real Estate Investment Trust,,ACTIVE
PH-TAX-0245,Purchases,FWT,WI 202,WI 202 | Cash dividend payment by domestic corporation to citizens and residents aliens/NRFCs,10,,,W1202,W1202,Cash dividend payment by domestic corporation to citizens and residents aliens/NRFCs,,ACTIVE
PH-TAX-0246,Purchases,FWT,WI 203,WI 203 | Property dividend payment by domestic corporation to citizens and resident aliens/NRFCs,10,,,WI203,WI203,Property dividend payment by domestic corporation to citizens and resident aliens/NRFCs,,ACTIVE
PH-TAX-0247,Purchases,FWT,WI 224,WI 224 | Cash dividend payment by domestic corporation to non-resident alien engaged in Trade or Business within the Philippines (NRAETB),20,,,WI224,WI224,Cash dividend payment by domestic corporation to non-resident alien engaged in Trade or Business within the Philippines (NRAETB),,ACTIVE
PH-TAX-0248,Purchases,FWT,WI 225,WI 225 | Property dividend payment by domestic corporation to NRAETB,20,,,WI225,WI225,Property dividend payment by domestic corporation to NRAETB,,ACTIVE
PH-TAX-0249,Purchases,FWT,WI 226,"WI 226 | Share of NRAETB in the distributable net income after tax of a partnership (except GPPs) of which he is a partner, or share in the net income after tax of an association, joint account or a joint venture taxable as a corporation of which he is a member or a co-venturer",20,,,WI226,WI226,"Share of NRAETB in the distributable net income after tax of a partnership (except GPPs) of which he is a partner, or share in the net income after tax of an association, joint account or a joint venture taxable as a corporation of which he is a member or a co-venturer",,ACTIVE
PH-TAX-0250,Purchases,FWT,WI 240,"WI 240 | Distributive share of individual partners in a taxable partnership, association, joint account or joint venture or consortium",10,,,WI240,WI240,"Distributive share of individual partners in a taxable partnership, association, joint account or joint venture or consortium",,ACTIVE
PH-TAX-0251,Purchases,FWT,WI 250,"WI 250 | All kinds of royalty payments to citizens, resident aliens and NRAETB (other than WI380 and WI341), domestic and resident foreign corporations",20,,,WI250,WI250,"All kinds of royalty payments to citizens, resident aliens and NRAETB (other than WI380 and WI341), domestic and resident foreign corporations",,ACTIVE
PH-TAX-0252,Purchases,FWT,WI 260,"WI 260 | On prizes exceeding P10,000.00 and other winnings paid to individuals",20,,,WI260,WI260,"On prizes exceeding P10,000.00 and other winnings paid to individuals",,ACTIVE
PH-TAX-0253,Purchases,FWT,WI 310,WI 310 | On payments to oil exploration service contractors/sub-contractors,0,,,WI310,WI310,On payments to oil exploration service contractors/sub-contractors,,ACTIVE
PH-TAX-0254,Purchases,FWT,WI 330,WI 330 | Payments to non-resident alien not engage in trade or business within the Philippines (NRANETB) except on sale of shares in domestic corporation and real property,25,,,WI330,WI330,Payments to non-resident alien not engage in trade or business within the Philippines (NRANETB) except on sale of shares in domestic corporation and real property,,ACTIVE
PH-TAX-0255,Purchases,FWT,WI 340,"WI 340 | On payments to non-resident individual/foreign corporate cinematographic film owners, lessors or distributors",25,,,WI340,WI340,"On payments to non-resident individual/foreign corporate cinematographic film owners, lessors or distributors",,ACTIVE
PH-TAX-0256,Purchases,FWT,WI 341,WI 341 | Royalties paid to NRAETB on cinematographic films and similar works,25,,,WI341,WI341,Royalties paid to NRAETB on cinematographic films and similar works,,ACTIVE
PH-TAX-0257,Purchases,FWT,WI 350,"WI 350 | Final tax on interest or other payments upon tax-free covenant bonds, mortgages, deeds of trust or other obligations under Sec. 57C of the NIRC of 1997, as amended",30,,,WI350,WI350,"Final tax on interest or other payments upon tax-free covenant bonds, mortgages, deeds of trust or other obligations under Sec. 57C of the NIRC of 1997, as amended",,ACTIVE
PH-TAX-0258,Purchases,FWT,WI 380,"WI 380 | Royalties paid to citizens, resident aliens and NRAETB on books, other literary works and musical compositions",10,,,WI380,WI380,"Royalties paid to citizens, resident aliens and NRAETB on books, other literary works and musical compositions",,ACTIVE
PH-TAX-0259,Purchases,FWT,WI 410,WI 410 | Informers cash reward to individuals/juridical persons,10,,,WI410,WI410,Informers cash reward to individuals/juridical persons,,ACTIVE
PH-TAX-0260,Purchases,FWT,WI 700,WI 700 | Cash on property dividend paid by a Real Estate Investment Trust,10,,,WI700,WI700,Cash on property dividend paid by a Real Estate Investment Trust,,ACTIVE
