sourceKey,transactionType,taxType,taxCode,taxDescription,taxRate,taxAlias,atc,officialAtcCode,natureOfIncome
PH-TAX-0087,Purchases,EWT,WC 150,"WC 150 | PROFESSIONAL FEES PAID TO MEDICAL PRACTITIONERS (INCLUDES DOCTORS OF MEDICINE, DOCTORS OF VETERINARY SCIENCE AND DENTISTS) BY HOSPITALS AND CLINICS OR PAID DIRECTLY BY HEALTH MAINTENANCE ORGANIZATIONS (HMOS) AND/OR SIMILAR ESTABLISHMENTS - If the current year's gross income exceeds P720,000",15,,WC 150,WC 150,"PROFESSIONAL FEES PAID TO MEDICAL PRACTITIONERS (INCLUDES DOCTORS OF MEDICINE, DOCTORS OF VETERINARY SCIENCE AND DENTISTS) BY HOSPITALS AND CLINICS OR PAID DIRECTLY BY HEALTH MAINTENANCE ORGANIZATIONS (HMOS) AND/OR SIMILAR ESTABLISHMENTS - If the current year's gross income exceeds P720,000"
PH-TAX-0088,Purchases,EWT,WC 151,"WC 151 | PROFESSIONAL FEES PAID TO MEDICAL PRACTITIONERS (INCLUDES DOCTORS OF MEDICINE, DOCTORS OF VETERINARY SCIENCE AND DENTISTS) BY HOSPITALS AND CLINICS OR PAID DIRECTLY BY HEALTH MAINTENANCE ORGANIZATIONS (HMOS) AND/OR SIMILAR ESTABLISHMENTS - If the current year's gross income does not exceed P720,000",10,,WC 151,WC 151,"PROFESSIONAL FEES PAID TO MEDICAL PRACTITIONERS (INCLUDES DOCTORS OF MEDICINE, DOCTORS OF VETERINARY SCIENCE AND DENTISTS) BY HOSPITALS AND CLINICS OR PAID DIRECTLY BY HEALTH MAINTENANCE ORGANIZATIONS (HMOS) AND/OR SIMILAR ESTABLISHMENTS - If the current year's gross income does not exceed P720,000"
PH-TAX-0089,Purchases,EWT,WC 156,WC 156 | INCOME PAYMENTS MADE BY CREDIT CARD COMPANIES,0.5,,WC 156,WC 156,INCOME PAYMENTS MADE BY CREDIT CARD COMPANIES
PH-TAX-0090,Purchases,EWT,WC 157,WC 157 | INCOME PAYMENTS MADE BY THE GOVERNMENT AND GOVERNMENT-OWNED AND CONTROLLED CORPORATIONS (GOCCS) TO ITS LOCAL/RESIDENT SUPPLIERS OF SERVICES OTHER THAN THOSE COVERED BY OTHER RATES OF WITHHOLDING,2,,WC 157,WC 157,INCOME PAYMENTS MADE BY THE GOVERNMENT AND GOVERNMENT-OWNED AND CONTROLLED CORPORATIONS (GOCCS) TO ITS LOCAL/RESIDENT SUPPLIERS OF SERVICES OTHER THAN THOSE COVERED BY OTHER RATES OF WITHHOLDING
PH-TAX-0091,Purchases,EWT,WC 158,WC 158 | INCOME PAYMENT MADE BY TOP WITHHOLDING AGENTS TO THEIR LOCAL/RESIDENT SUPPLIER OF GOODS OTHER THAN THOSE COVERED BY OTHER RATES OF WITHHOLDING TAX,1,,WC 158,WC 158,INCOME PAYMENT MADE BY TOP WITHHOLDING AGENTS TO THEIR LOCAL/RESIDENT SUPPLIER OF GOODS OTHER THAN THOSE COVERED BY OTHER RATES OF WITHHOLDING TAX
PH-TAX-0092,Purchases,EWT,WC 160,WC 160 | INCOME PAYMENT MADE BY TOP WITHHOLDING AGENTS TO THEIR LOCAL/RESIDENT SUPPLIER OF SERVICES OTHER THAN THOSE COVERED BY OTHER RATES OF WITHHOLDING TAX,2,,WC 160,WC 160,INCOME PAYMENT MADE BY TOP WITHHOLDING AGENTS TO THEIR LOCAL/RESIDENT SUPPLIER OF SERVICES OTHER THAN THOSE COVERED BY OTHER RATES OF WITHHOLDING TAX
PH-TAX-0093,Purchases,EWT,WC 161,WC 161 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Saving Deposit,20,,WC 161,WC 161,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Saving Deposit
PH-TAX-0094,Purchases,EWT,WC 162,WC 162 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Government Securities,20,,WC 162,WC 162,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Government Securities
PH-TAX-0095,Purchases,EWT,WC 163,WC 163 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Deposits Substitutes/Others,20,,WC 163,WC 163,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Deposits Substitutes/Others
PH-TAX-0096,Purchases,EWT,WC 170,WC 170 | Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Foreign Currency Deposits,7.5,,WC 170,WC 170,Interest/Yield from Bank Deposits/Deposit Substitutes/Government Securities- Foreign Currency Deposits
