sourceKey,transactionType,taxType,taxCode,taxDescription,taxRate,taxAlias,atc,officialAtcCode,natureOfIncome
PH-TAX-0077,Purchases,EWT,WC 061,"WC 061 | BUSINESS AND BOOKKEEPING AGENTS AND AGENCIES - If the current year's gross income exceeds P720,000",15,,WC 061,WC 061,"BUSINESS AND BOOKKEEPING AGENTS AND AGENCIES - If the current year's gross income exceeds P720,000"
PH-TAX-0078,Purchases,EWT,WC 070,"WC 070 | INSURANCE AGENTS AND INSURANCE ADJUSTERS - If the current year's gross income does not exceed P720,000.00",10,,WC 070,WC 070,"INSURANCE AGENTS AND INSURANCE ADJUSTERS - If the current year's gross income does not exceed P720,000.00"
PH-TAX-0079,Purchases,EWT,WC 071,"WC 071 | INSURANCE AGENTS AND INSURANCE ADJUSTERS - If the current year's gross income exceeds P720,000",15,,WC 071,WC 071,"INSURANCE AGENTS AND INSURANCE ADJUSTERS - If the current year's gross income exceeds P720,000"
PH-TAX-0080,Purchases,EWT,WC 080,"WC 080 | OTHER RECIPIENTS OF TALENT FEES - If the current year's gross income does not exceed P720,000.00",10,,WC 080,WC 080,"OTHER RECIPIENTS OF TALENT FEES - If the current year's gross income does not exceed P720,000.00"
PH-TAX-0081,Purchases,EWT,WC 081,"WC 081 | OTHER RECIPIENTS OF TALENT FEES - If the current year's gross income exceeds P720,000",15,,WC 081,WC 081,"OTHER RECIPIENTS OF TALENT FEES - If the current year's gross income exceeds P720,000"
PH-TAX-0082,Purchases,EWT,WC 100,"WC 100 | Rentals : real/personal properties, poles,satellites and transmission facilities, billboards",5,,WC 100,WC 100,"Rentals : real/personal properties, poles,satellites and transmission facilities, billboards"
PH-TAX-0083,Purchases,EWT,WC 110,WC 110 | CINEMATOGRAPHIC FILM RENTALS,5,,WC 110,WC 110,CINEMATOGRAPHIC FILM RENTALS
PH-TAX-0084,Purchases,EWT,WC 120,WC 120 | INCOME PAYMENTS TO CERTAIN CONTRACTORS,2,,WC 120,WC 120,INCOME PAYMENTS TO CERTAIN CONTRACTORS
PH-TAX-0085,Purchases,EWT,WC 139,"WC 139 | GROSS COMMISSIONS OR SERVICE FEES OF CUSTOMS, INSURANCE, STOCK, IMMIGRATION AND COMMERCIAL BROKERS, FEES OF AGENTS OF PROFESSIONAL ENTERTAINERS AND REAL ESTATE SERVICE PRACTITIONERS (RESPS), (I.E. REAL ESTATE CONSULTANTS, REAL ESTATE APPRAISERS AND REAL ESTATE BROKERS) - If the current year's gross income does not exceed P720,000",10,,WC 139,WC 139,"GROSS COMMISSIONS OR SERVICE FEES OF CUSTOMS, INSURANCE, STOCK, IMMIGRATION AND COMMERCIAL BROKERS, FEES OF AGENTS OF PROFESSIONAL ENTERTAINERS AND REAL ESTATE SERVICE PRACTITIONERS (RESPS), (I.E. REAL ESTATE CONSULTANTS, REAL ESTATE APPRAISERS AND REAL ESTATE BROKERS) - If the current year's gross income does not exceed P720,000"
PH-TAX-0086,Purchases,EWT,WC 140,"WC 140 | GROSS COMMISSIONS OR SERVICE FEES OF CUSTOMS, INSURANCE, STOCK, IMMIGRATION AND COMMERCIAL BROKERS, FEES OF AGENTS OF PROFESSIONAL ENTERTAINERS AND REAL ESTATE SERVICE PRACTITIONERS (RESPS), (I.E. REAL ESTATE ONSULTANTS, REAL ESTATE APPRAISERS AND REAL ESTATE BROKERS) - If the current year's gross income exceeds P720,000",15,,WC 140,WC 140,"GROSS COMMISSIONS OR SERVICE FEES OF CUSTOMS, INSURANCE, STOCK, IMMIGRATION AND COMMERCIAL BROKERS, FEES OF AGENTS OF PROFESSIONAL ENTERTAINERS AND REAL ESTATE SERVICE PRACTITIONERS (RESPS), (I.E. REAL ESTATE ONSULTANTS, REAL ESTATE APPRAISERS AND REAL ESTATE BROKERS) - If the current year's gross income exceeds P720,000"
